State,Year,Party,Switch
Alabama,1789,,0
Alabama,1792,,0
Alabama,1796,,0
Alabama,1800,,0
Alabama,1804,,0
Alabama,1808,,0
Alabama,1812,,0
Alabama,1816,,0
Alabama,1820,O,0
Alabama,1824,O,0
Alabama,1828,D,0
Alabama,1832,D,0
Alabama,1836,D,0
Alabama,1840,D,0
Alabama,1844,D,0
Alabama,1848,D,0
Alabama,1852,D,0
Alabama,1856,D,0
Alabama,1860,D,0
Alabama,1864,,0
Alabama,1868,R,0
Alabama,1872,R,0
Alabama,1876,D,1
Alabama,1880,D,0
Alabama,1884,D,0
Alabama,1888,D,0
Alabama,1892,D,0
Alabama,1896,D,0
Alabama,1900,D,0
Alabama,1904,D,0
Alabama,1908,D,0
Alabama,1912,D,0
Alabama,1916,D,0
Alabama,1920,D,0
Alabama,1924,D,0
Alabama,1928,D,0
Alabama,1932,D,0
Alabama,1936,D,0
Alabama,1940,D,0
Alabama,1944,D,0
Alabama,1948,D,0
Alabama,1952,D,0
Alabama,1956,D,0
Alabama,1960,O,0
Alabama,1964,R,0
Alabama,1968,O,0
Alabama,1972,R,0
Alabama,1976,D,1
Alabama,1980,R,1
Alabama,1984,R,0
Alabama,1988,R,0
Alabama,1992,R,0
Alabama,1996,R,0
Alabama,2000,R,0
Alabama,2004,R,0
Alabama,2008,R,0
Alabama,2012,R,0
Alabama,2016,R,0
Alabama,2020,R,0
Alaska,1789,,0
Alaska,1792,,0
Alaska,1796,,0
Alaska,1800,,0
Alaska,1804,,0
Alaska,1808,,0
Alaska,1812,,0
Alaska,1816,,0
Alaska,1820,,0
Alaska,1824,,0
Alaska,1828,,0
Alaska,1832,,0
Alaska,1836,,0
Alaska,1840,,0
Alaska,1844,,0
Alaska,1848,,0
Alaska,1852,,0
Alaska,1856,,0
Alaska,1860,,0
Alaska,1864,,0
Alaska,1868,,0
Alaska,1872,,0
Alaska,1876,,0
Alaska,1880,,0
Alaska,1884,,0
Alaska,1888,,0
Alaska,1892,,0
Alaska,1896,,0
Alaska,1900,,0
Alaska,1904,,0
Alaska,1908,,0
Alaska,1912,,0
Alaska,1916,,0
Alaska,1920,,0
Alaska,1924,,0
Alaska,1928,,0
Alaska,1932,,0
Alaska,1936,,0
Alaska,1940,,0
Alaska,1944,,0
Alaska,1948,,0
Alaska,1952,,0
Alaska,1956,,0
Alaska,1960,R,0
Alaska,1964,D,1
Alaska,1968,R,1
Alaska,1972,R,0
Alaska,1976,R,0
Alaska,1980,R,0
Alaska,1984,R,0
Alaska,1988,R,0
Alaska,1992,R,0
Alaska,1996,R,0
Alaska,2000,R,0
Alaska,2004,R,0
Alaska,2008,R,0
Alaska,2012,R,0
Alaska,2016,R,0
Alaska,2020,R,0
Arizona,1789,,0
Arizona,1792,,0
Arizona,1796,,0
Arizona,1800,,0
Arizona,1804,,0
Arizona,1808,,0
Arizona,1812,,0
Arizona,1816,,0
Arizona,1820,,0
Arizona,1824,,0
Arizona,1828,,0
Arizona,1832,,0
Arizona,1836,,0
Arizona,1840,,0
Arizona,1844,,0
Arizona,1848,,0
Arizona,1852,,0
Arizona,1856,,0
Arizona,1860,,0
Arizona,1864,,0
Arizona,1868,,0
Arizona,1872,,0
Arizona,1876,,0
Arizona,1880,,0
Arizona,1884,,0
Arizona,1888,,0
Arizona,1892,,0
Arizona,1896,,0
Arizona,1900,,0
Arizona,1904,,0
Arizona,1908,,0
Arizona,1912,D,0
Arizona,1916,D,0
Arizona,1920,R,1
Arizona,1924,R,0
Arizona,1928,R,0
Arizona,1932,D,1
Arizona,1936,D,0
Arizona,1940,D,0
Arizona,1944,D,0
Arizona,1948,D,0
Arizona,1952,R,1
Arizona,1956,R,0
Arizona,1960,R,0
Arizona,1964,R,0
Arizona,1968,R,0
Arizona,1972,R,0
Arizona,1976,R,0
Arizona,1980,R,0
Arizona,1984,R,0
Arizona,1988,R,0
Arizona,1992,R,0
Arizona,1996,D,1
Arizona,2000,R,1
Arizona,2004,R,0
Arizona,2008,R,0
Arizona,2012,R,0
Arizona,2016,R,0
Arizona,2020,D,1
Arkansas,1789,,0
Arkansas,1792,,0
Arkansas,1796,,0
Arkansas,1800,,0
Arkansas,1804,,0
Arkansas,1808,,0
Arkansas,1812,,0
Arkansas,1816,,0
Arkansas,1820,,0
Arkansas,1824,,0
Arkansas,1828,,0
Arkansas,1832,,0
Arkansas,1836,D,0
Arkansas,1840,D,0
Arkansas,1844,D,0
Arkansas,1848,D,0
Arkansas,1852,D,0
Arkansas,1856,D,0
Arkansas,1860,D,0
Arkansas,1864,,0
Arkansas,1868,R,0
Arkansas,1872,R,0
Arkansas,1876,D,1
Arkansas,1880,D,0
Arkansas,1884,D,0
Arkansas,1888,D,0
Arkansas,1892,D,0
Arkansas,1896,D,0
Arkansas,1900,D,0
Arkansas,1904,D,0
Arkansas,1908,D,0
Arkansas,1912,D,0
Arkansas,1916,D,0
Arkansas,1920,D,0
Arkansas,1924,D,0
Arkansas,1928,D,0
Arkansas,1932,D,0
Arkansas,1936,D,0
Arkansas,1940,D,0
Arkansas,1944,D,0
Arkansas,1948,D,0
Arkansas,1952,D,0
Arkansas,1956,D,0
Arkansas,1960,D,0
Arkansas,1964,D,0
Arkansas,1968,O,0
Arkansas,1972,R,0
Arkansas,1976,D,1
Arkansas,1980,R,1
Arkansas,1984,R,0
Arkansas,1988,R,0
Arkansas,1992,D,1
Arkansas,1996,D,0
Arkansas,2000,R,1
Arkansas,2004,R,0
Arkansas,2008,R,0
Arkansas,2012,R,0
Arkansas,2016,R,0
Arkansas,2020,R,0
California,1789,,0
California,1792,,0
California,1796,,0
California,1800,,0
California,1804,,0
California,1808,,0
California,1812,,0
California,1816,,0
California,1820,,0
California,1824,,0
California,1828,,0
California,1832,,0
California,1836,,0
California,1840,,0
California,1844,,0
California,1848,,0
California,1852,D,0
California,1856,D,0
California,1860,R,1
California,1864,R,0
California,1868,R,0
California,1872,R,0
California,1876,R,0
California,1880,D,1
California,1884,R,1
California,1888,R,0
California,1892,D,1
California,1896,R,1
California,1900,R,0
California,1904,R,0
California,1908,R,0
California,1912,O,0
California,1916,D,0
California,1920,R,1
California,1924,R,0
California,1928,R,0
California,1932,D,1
California,1936,D,0
California,1940,D,0
California,1944,D,0
California,1948,D,0
California,1952,R,1
California,1956,R,0
California,1960,R,0
California,1964,D,1
California,1968,R,1
California,1972,R,0
California,1976,R,0
California,1980,R,0
California,1984,R,0
California,1988,R,0
California,1992,D,1
California,1996,D,0
California,2000,D,0
California,2004,D,0
California,2008,D,0
California,2012,D,0
California,2016,D,0
California,2020,D,0
Colorado,1789,,0
Colorado,1792,,0
Colorado,1796,,0
Colorado,1800,,0
Colorado,1804,,0
Colorado,1808,,0
Colorado,1812,,0
Colorado,1816,,0
Colorado,1820,,0
Colorado,1824,,0
Colorado,1828,,0
Colorado,1832,,0
Colorado,1836,,0
Colorado,1840,,0
Colorado,1844,,0
Colorado,1848,,0
Colorado,1852,,0
Colorado,1856,,0
Colorado,1860,,0
Colorado,1864,,0
Colorado,1868,,0
Colorado,1872,,0
Colorado,1876,R,0
Colorado,1880,R,0
Colorado,1884,R,0
Colorado,1888,R,0
Colorado,1892,O,0
Colorado,1896,D,0
Colorado,1900,D,0
Colorado,1904,R,1
Colorado,1908,D,1
Colorado,1912,D,0
Colorado,1916,D,0
Colorado,1920,R,1
Colorado,1924,R,0
Colorado,1928,R,0
Colorado,1932,D,1
Colorado,1936,D,0
Colorado,1940,R,1
Colorado,1944,R,0
Colorado,1948,D,1
Colorado,1952,R,1
Colorado,1956,R,0
Colorado,1960,R,0
Colorado,1964,D,1
Colorado,1968,R,1
Colorado,1972,R,0
Colorado,1976,R,0
Colorado,1980,R,0
Colorado,1984,R,0
Colorado,1988,R,0
Colorado,1992,D,1
Colorado,1996,R,1
Colorado,2000,R,0
Colorado,2004,R,0
Colorado,2008,D,1
Colorado,2012,D,0
Colorado,2016,D,0
Colorado,2020,D,0
Connecticut,1789,O,0
Connecticut,1792,O,0
Connecticut,1796,O,0
Connecticut,1800,O,0
Connecticut,1804,O,0
Connecticut,1808,O,0
Connecticut,1812,O,0
Connecticut,1816,O,0
Connecticut,1820,O,0
Connecticut,1824,O,0
Connecticut,1828,O,0
Connecticut,1832,O,0
Connecticut,1836,D,0
Connecticut,1840,O,0
Connecticut,1844,O,0
Connecticut,1848,O,0
Connecticut,1852,D,0
Connecticut,1856,R,1
Connecticut,1860,R,0
Connecticut,1864,R,0
Connecticut,1868,R,0
Connecticut,1872,R,0
Connecticut,1876,D,1
Connecticut,1880,R,1
Connecticut,1884,D,1
Connecticut,1888,D,0
Connecticut,1892,D,0
Connecticut,1896,R,1
Connecticut,1900,R,0
Connecticut,1904,R,0
Connecticut,1908,R,0
Connecticut,1912,D,1
Connecticut,1916,R,1
Connecticut,1920,R,0
Connecticut,1924,R,0
Connecticut,1928,R,0
Connecticut,1932,R,0
Connecticut,1936,D,1
Connecticut,1940,D,0
Connecticut,1944,D,0
Connecticut,1948,R,1
Connecticut,1952,R,0
Connecticut,1956,R,0
Connecticut,1960,D,1
Connecticut,1964,D,0
Connecticut,1968,D,0
Connecticut,1972,R,1
Connecticut,1976,R,0
Connecticut,1980,R,0
Connecticut,1984,R,0
Connecticut,1988,R,0
Connecticut,1992,D,1
Connecticut,1996,D,0
Connecticut,2000,D,0
Connecticut,2004,D,0
Connecticut,2008,D,0
Connecticut,2012,D,0
Connecticut,2016,D,0
Connecticut,2020,D,0
D.C.,1789,,0
D.C.,1792,,0
D.C.,1796,,0
D.C.,1800,,0
D.C.,1804,,0
D.C.,1808,,0
D.C.,1812,,0
D.C.,1816,,0
D.C.,1820,,0
D.C.,1824,,0
D.C.,1828,,0
D.C.,1832,,0
D.C.,1836,,0
D.C.,1840,,0
D.C.,1844,,0
D.C.,1848,,0
D.C.,1852,,0
D.C.,1856,,0
D.C.,1860,,0
D.C.,1864,,0
D.C.,1868,,0
D.C.,1872,,0
D.C.,1876,,0
D.C.,1880,,0
D.C.,1884,,0
D.C.,1888,,0
D.C.,1892,,0
D.C.,1896,,0
D.C.,1900,,0
D.C.,1904,,0
D.C.,1908,,0
D.C.,1912,,0
D.C.,1916,,0
D.C.,1920,,0
D.C.,1924,,0
D.C.,1928,,0
D.C.,1932,,0
D.C.,1936,,0
D.C.,1940,,0
D.C.,1944,,0
D.C.,1948,,0
D.C.,1952,,0
D.C.,1956,,0
D.C.,1960,,0
D.C.,1964,D,0
D.C.,1968,D,0
D.C.,1972,D,0
D.C.,1976,D,0
D.C.,1980,D,0
D.C.,1984,D,0
D.C.,1988,D,0
D.C.,1992,D,0
D.C.,1996,D,0
D.C.,2000,D,0
D.C.,2004,D,0
D.C.,2008,D,0
D.C.,2012,D,0
D.C.,2016,D,0
D.C.,2020,D,0
Delaware,1789,O,0
Delaware,1792,O,0
Delaware,1796,O,0
Delaware,1800,O,0
Delaware,1804,O,0
Delaware,1808,O,0
Delaware,1812,O,0
Delaware,1816,O,0
Delaware,1820,O,0
Delaware,1824,O,0
Delaware,1828,O,0
Delaware,1832,O,0
Delaware,1836,O,0
Delaware,1840,O,0
Delaware,1844,O,0
Delaware,1848,O,0
Delaware,1852,D,0
Delaware,1856,D,0
Delaware,1860,D,0
Delaware,1864,D,0
Delaware,1868,D,0
Delaware,1872,R,1
Delaware,1876,D,1
Delaware,1880,D,0
Delaware,1884,D,0
Delaware,1888,D,0
Delaware,1892,D,0
Delaware,1896,R,1
Delaware,1900,R,0
Delaware,1904,R,0
Delaware,1908,R,0
Delaware,1912,D,1
Delaware,1916,R,1
Delaware,1920,R,0
Delaware,1924,R,0
Delaware,1928,R,0
Delaware,1932,R,0
Delaware,1936,D,1
Delaware,1940,D,0
Delaware,1944,D,0
Delaware,1948,R,1
Delaware,1952,R,0
Delaware,1956,R,0
Delaware,1960,D,1
Delaware,1964,D,0
Delaware,1968,R,1
Delaware,1972,R,0
Delaware,1976,D,1
Delaware,1980,R,1
Delaware,1984,R,0
Delaware,1988,R,0
Delaware,1992,D,1
Delaware,1996,D,0
Delaware,2000,D,0
Delaware,2004,D,0
Delaware,2008,D,0
Delaware,2012,D,0
Delaware,2016,D,0
Delaware,2020,D,0
Florida,1789,,0
Florida,1792,,0
Florida,1796,,0
Florida,1800,,0
Florida,1804,,0
Florida,1808,,0
Florida,1812,,0
Florida,1816,,0
Florida,1820,,0
Florida,1824,,0
Florida,1828,,0
Florida,1832,,0
Florida,1836,,0
Florida,1840,,0
Florida,1844,,0
Florida,1848,O,0
Florida,1852,D,0
Florida,1856,D,0
Florida,1860,D,0
Florida,1864,,0
Florida,1868,R,0
Florida,1872,R,0
Florida,1876,R,0
Florida,1880,D,1
Florida,1884,D,0
Florida,1888,D,0
Florida,1892,D,0
Florida,1896,D,0
Florida,1900,D,0
Florida,1904,D,0
Florida,1908,D,0
Florida,1912,D,0
Florida,1916,D,0
Florida,1920,D,0
Florida,1924,D,0
Florida,1928,R,1
Florida,1932,D,1
Florida,1936,D,0
Florida,1940,D,0
Florida,1944,D,0
Florida,1948,D,0
Florida,1952,R,1
Florida,1956,R,0
Florida,1960,R,0
Florida,1964,D,1
Florida,1968,R,1
Florida,1972,R,0
Florida,1976,D,1
Florida,1980,R,1
Florida,1984,R,0
Florida,1988,R,0
Florida,1992,R,0
Florida,1996,D,1
Florida,2000,R,1
Florida,2004,R,0
Florida,2008,D,1
Florida,2012,D,0
Florida,2016,R,1
Florida,2020,R,0
Georgia,1789,O,0
Georgia,1792,O,0
Georgia,1796,O,0
Georgia,1800,O,0
Georgia,1804,O,0
Georgia,1808,O,0
Georgia,1812,O,0
Georgia,1816,O,0
Georgia,1820,O,0
Georgia,1824,O,0
Georgia,1828,D,0
Georgia,1832,D,0
Georgia,1836,O,0
Georgia,1840,O,0
Georgia,1844,D,0
Georgia,1848,O,0
Georgia,1852,D,0
Georgia,1856,D,0
Georgia,1860,D,0
Georgia,1864,,0
Georgia,1868,D,0
Georgia,1872,O,0
Georgia,1876,D,0
Georgia,1880,D,0
Georgia,1884,D,0
Georgia,1888,D,0
Georgia,1892,D,0
Georgia,1896,D,0
Georgia,1900,D,0
Georgia,1904,D,0
Georgia,1908,D,0
Georgia,1912,D,0
Georgia,1916,D,0
Georgia,1920,D,0
Georgia,1924,D,0
Georgia,1928,D,0
Georgia,1932,D,0
Georgia,1936,D,0
Georgia,1940,D,0
Georgia,1944,D,0
Georgia,1948,D,0
Georgia,1952,D,0
Georgia,1956,D,0
Georgia,1960,D,0
Georgia,1964,R,1
Georgia,1968,O,0
Georgia,1972,R,0
Georgia,1976,D,1
Georgia,1980,D,0
Georgia,1984,R,1
Georgia,1988,R,0
Georgia,1992,D,1
Georgia,1996,R,1
Georgia,2000,R,0
Georgia,2004,R,0
Georgia,2008,R,0
Georgia,2012,R,0
Georgia,2016,R,0
Georgia,2020,D,1
Hawaii,1789,,0
Hawaii,1792,,0
Hawaii,1796,,0
Hawaii,1800,,0
Hawaii,1804,,0
Hawaii,1808,,0
Hawaii,1812,,0
Hawaii,1816,,0
Hawaii,1820,,0
Hawaii,1824,,0
Hawaii,1828,,0
Hawaii,1832,,0
Hawaii,1836,,0
Hawaii,1840,,0
Hawaii,1844,,0
Hawaii,1848,,0
Hawaii,1852,,0
Hawaii,1856,,0
Hawaii,1860,,0
Hawaii,1864,,0
Hawaii,1868,,0
Hawaii,1872,,0
Hawaii,1876,,0
Hawaii,1880,,0
Hawaii,1884,,0
Hawaii,1888,,0
Hawaii,1892,,0
Hawaii,1896,,0
Hawaii,1900,,0
Hawaii,1904,,0
Hawaii,1908,,0
Hawaii,1912,,0
Hawaii,1916,,0
Hawaii,1920,,0
Hawaii,1924,,0
Hawaii,1928,,0
Hawaii,1932,,0
Hawaii,1936,,0
Hawaii,1940,,0
Hawaii,1944,,0
Hawaii,1948,,0
Hawaii,1952,,0
Hawaii,1956,,0
Hawaii,1960,D,0
Hawaii,1964,D,0
Hawaii,1968,D,0
Hawaii,1972,R,1
Hawaii,1976,D,1
Hawaii,1980,D,0
Hawaii,1984,R,1
Hawaii,1988,D,1
Hawaii,1992,D,0
Hawaii,1996,D,0
Hawaii,2000,D,0
Hawaii,2004,D,0
Hawaii,2008,D,0
Hawaii,2012,D,0
Hawaii,2016,D,0
Hawaii,2020,D,0
Idaho,1789,,0
Idaho,1792,,0
Idaho,1796,,0
Idaho,1800,,0
Idaho,1804,,0
Idaho,1808,,0
Idaho,1812,,0
Idaho,1816,,0
Idaho,1820,,0
Idaho,1824,,0
Idaho,1828,,0
Idaho,1832,,0
Idaho,1836,,0
Idaho,1840,,0
Idaho,1844,,0
Idaho,1848,,0
Idaho,1852,,0
Idaho,1856,,0
Idaho,1860,,0
Idaho,1864,,0
Idaho,1868,,0
Idaho,1872,,0
Idaho,1876,,0
Idaho,1880,,0
Idaho,1884,,0
Idaho,1888,,0
Idaho,1892,O,0
Idaho,1896,D,0
Idaho,1900,D,0
Idaho,1904,R,1
Idaho,1908,R,0
Idaho,1912,D,1
Idaho,1916,D,0
Idaho,1920,R,1
Idaho,1924,R,0
Idaho,1928,R,0
Idaho,1932,D,1
Idaho,1936,D,0
Idaho,1940,D,0
Idaho,1944,D,0
Idaho,1948,D,0
Idaho,1952,R,1
Idaho,1956,R,0
Idaho,1960,R,0
Idaho,1964,D,1
Idaho,1968,R,1
Idaho,1972,R,0
Idaho,1976,R,0
Idaho,1980,R,0
Idaho,1984,R,0
Idaho,1988,R,0
Idaho,1992,R,0
Idaho,1996,R,0
Idaho,2000,R,0
Idaho,2004,R,0
Idaho,2008,R,0
Idaho,2012,R,0
Idaho,2016,R,0
Idaho,2020,R,0
Illinois,1789,,0
Illinois,1792,,0
Illinois,1796,,0
Illinois,1800,,0
Illinois,1804,,0
Illinois,1808,,0
Illinois,1812,,0
Illinois,1816,,0
Illinois,1820,O,0
Illinois,1824,O,0
Illinois,1828,D,0
Illinois,1832,D,0
Illinois,1836,D,0
Illinois,1840,D,0
Illinois,1844,D,0
Illinois,1848,D,0
Illinois,1852,D,0
Illinois,1856,D,0
Illinois,1860,R,1
Illinois,1864,R,0
Illinois,1868,R,0
Illinois,1872,R,0
Illinois,1876,R,0
Illinois,1880,R,0
Illinois,1884,R,0
Illinois,1888,R,0
Illinois,1892,D,1
Illinois,1896,R,1
Illinois,1900,R,0
Illinois,1904,R,0
Illinois,1908,R,0
Illinois,1912,D,1
Illinois,1916,R,1
Illinois,1920,R,0
Illinois,1924,R,0
Illinois,1928,R,0
Illinois,1932,D,1
Illinois,1936,D,0
Illinois,1940,D,0
Illinois,1944,D,0
Illinois,1948,D,0
Illinois,1952,R,1
Illinois,1956,R,0
Illinois,1960,D,1
Illinois,1964,D,0
Illinois,1968,R,1
Illinois,1972,R,0
Illinois,1976,R,0
Illinois,1980,R,0
Illinois,1984,R,0
Illinois,1988,R,0
Illinois,1992,D,1
Illinois,1996,D,0
Illinois,2000,D,0
Illinois,2004,D,0
Illinois,2008,D,0
Illinois,2012,D,0
Illinois,2016,D,0
Illinois,2020,D,0
Indiana,1789,,0
Indiana,1792,,0
Indiana,1796,,0
Indiana,1800,,0
Indiana,1804,,0
Indiana,1808,,0
Indiana,1812,,0
Indiana,1816,O,0
Indiana,1820,O,0
Indiana,1824,O,0
Indiana,1828,D,0
Indiana,1832,D,0
Indiana,1836,O,0
Indiana,1840,O,0
Indiana,1844,D,0
Indiana,1848,D,0
Indiana,1852,D,0
Indiana,1856,D,0
Indiana,1860,R,1
Indiana,1864,R,0
Indiana,1868,R,0
Indiana,1872,R,0
Indiana,1876,D,1
Indiana,1880,R,1
Indiana,1884,D,1
Indiana,1888,R,1
Indiana,1892,D,1
Indiana,1896,R,1
Indiana,1900,R,0
Indiana,1904,R,0
Indiana,1908,R,0
Indiana,1912,D,1
Indiana,1916,R,1
Indiana,1920,R,0
Indiana,1924,R,0
Indiana,1928,R,0
Indiana,1932,D,1
Indiana,1936,D,0
Indiana,1940,R,1
Indiana,1944,R,0
Indiana,1948,R,0
Indiana,1952,R,0
Indiana,1956,R,0
Indiana,1960,R,0
Indiana,1964,D,1
Indiana,1968,R,1
Indiana,1972,R,0
Indiana,1976,R,0
Indiana,1980,R,0
Indiana,1984,R,0
Indiana,1988,R,0
Indiana,1992,R,0
Indiana,1996,R,0
Indiana,2000,R,0
Indiana,2004,R,0
Indiana,2008,D,1
Indiana,2012,R,1
Indiana,2016,R,0
Indiana,2020,R,0
Iowa,1789,,0
Iowa,1792,,0
Iowa,1796,,0
Iowa,1800,,0
Iowa,1804,,0
Iowa,1808,,0
Iowa,1812,,0
Iowa,1816,,0
Iowa,1820,,0
Iowa,1824,,0
Iowa,1828,,0
Iowa,1832,,0
Iowa,1836,,0
Iowa,1840,,0
Iowa,1844,,0
Iowa,1848,D,0
Iowa,1852,D,0
Iowa,1856,R,1
Iowa,1860,R,0
Iowa,1864,R,0
Iowa,1868,R,0
Iowa,1872,R,0
Iowa,1876,R,0
Iowa,1880,R,0
Iowa,1884,R,0
Iowa,1888,R,0
Iowa,1892,R,0
Iowa,1896,R,0
Iowa,1900,R,0
Iowa,1904,R,0
Iowa,1908,R,0
Iowa,1912,D,1
Iowa,1916,R,1
Iowa,1920,R,0
Iowa,1924,R,0
Iowa,1928,R,0
Iowa,1932,D,1
Iowa,1936,D,0
Iowa,1940,R,1
Iowa,1944,R,0
Iowa,1948,D,1
Iowa,1952,R,1
Iowa,1956,R,0
Iowa,1960,R,0
Iowa,1964,D,1
Iowa,1968,R,1
Iowa,1972,R,0
Iowa,1976,R,0
Iowa,1980,R,0
Iowa,1984,R,0
Iowa,1988,D,1
Iowa,1992,D,0
Iowa,1996,D,0
Iowa,2000,D,0
Iowa,2004,R,1
Iowa,2008,D,1
Iowa,2012,D,0
Iowa,2016,R,1
Iowa,2020,R,0
Kansas,1789,,0
Kansas,1792,,0
Kansas,1796,,0
Kansas,1800,,0
Kansas,1804,,0
Kansas,1808,,0
Kansas,1812,,0
Kansas,1816,,0
Kansas,1820,,0
Kansas,1824,,0
Kansas,1828,,0
Kansas,1832,,0
Kansas,1836,,0
Kansas,1840,,0
Kansas,1844,,0
Kansas,1848,,0
Kansas,1852,,0
Kansas,1856,,0
Kansas,1860,,0
Kansas,1864,R,0
Kansas,1868,R,0
Kansas,1872,R,0
Kansas,1876,R,0
Kansas,1880,R,0
Kansas,1884,R,0
Kansas,1888,R,0
Kansas,1892,O,0
Kansas,1896,D,0
Kansas,1900,R,1
Kansas,1904,R,0
Kansas,1908,R,0
Kansas,1912,D,1
Kansas,1916,D,0
Kansas,1920,R,1
Kansas,1924,R,0
Kansas,1928,R,0
Kansas,1932,D,1
Kansas,1936,D,0
Kansas,1940,R,1
Kansas,1944,R,0
Kansas,1948,R,0
Kansas,1952,R,0
Kansas,1956,R,0
Kansas,1960,R,0
Kansas,1964,D,1
Kansas,1968,R,1
Kansas,1972,R,0
Kansas,1976,R,0
Kansas,1980,R,0
Kansas,1984,R,0
Kansas,1988,R,0
Kansas,1992,R,0
Kansas,1996,R,0
Kansas,2000,R,0
Kansas,2004,R,0
Kansas,2008,R,0
Kansas,2012,R,0
Kansas,2016,R,0
Kansas,2020,R,0
Kentucky,1789,,0
Kentucky,1792,O,0
Kentucky,1796,O,0
Kentucky,1800,O,0
Kentucky,1804,O,0
Kentucky,1808,O,0
Kentucky,1812,O,0
Kentucky,1816,O,0
Kentucky,1820,O,0
Kentucky,1824,O,0
Kentucky,1828,D,0
Kentucky,1832,O,0
Kentucky,1836,O,0
Kentucky,1840,O,0
Kentucky,1844,O,0
Kentucky,1848,O,0
Kentucky,1852,O,0
Kentucky,1856,D,0
Kentucky,1860,O,0
Kentucky,1864,D,0
Kentucky,1868,D,0
Kentucky,1872,O,0
Kentucky,1876,D,0
Kentucky,1880,D,0
Kentucky,1884,D,0
Kentucky,1888,D,0
Kentucky,1892,D,0
Kentucky,1896,R,1
Kentucky,1900,D,1
Kentucky,1904,D,0
Kentucky,1908,D,0
Kentucky,1912,D,0
Kentucky,1916,D,0
Kentucky,1920,D,0
Kentucky,1924,R,1
Kentucky,1928,R,0
Kentucky,1932,D,1
Kentucky,1936,D,0
Kentucky,1940,D,0
Kentucky,1944,D,0
Kentucky,1948,D,0
Kentucky,1952,D,0
Kentucky,1956,R,1
Kentucky,1960,R,0
Kentucky,1964,D,1
Kentucky,1968,R,1
Kentucky,1972,R,0
Kentucky,1976,D,1
Kentucky,1980,R,1
Kentucky,1984,R,0
Kentucky,1988,R,0
Kentucky,1992,D,1
Kentucky,1996,D,0
Kentucky,2000,R,1
Kentucky,2004,R,0
Kentucky,2008,R,0
Kentucky,2012,R,0
Kentucky,2016,R,0
Kentucky,2020,R,0
Louisiana,1789,,0
Louisiana,1792,,0
Louisiana,1796,,0
Louisiana,1800,,0
Louisiana,1804,,0
Louisiana,1808,,0
Louisiana,1812,O,0
Louisiana,1816,O,0
Louisiana,1820,O,0
Louisiana,1824,O,0
Louisiana,1828,D,0
Louisiana,1832,D,0
Louisiana,1836,D,0
Louisiana,1840,O,0
Louisiana,1844,D,0
Louisiana,1848,O,0
Louisiana,1852,D,0
Louisiana,1856,D,0
Louisiana,1860,D,0
